City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
8,Hilo,US,84.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
10,Tecoanapa,MX,80.65,overcast clouds,16.5167,-98.75,Hotel Manglares
17,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,Cayenne,GF,78.84,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
33,Mtwara,TZ,76.42,light rain,-10.2667,40.1833,TIL Hotels Mtwara
37,Guanambi,BR,78.35,overcast clouds,-14.2233,-42.7814,Leopoldo Hotel
39,Nioro,GM,79.81,overcast clouds,13.35,-15.75,
42,Mount Isa,AU,80.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
48,Vaitape,PF,75.96,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
52,Maiduguri,NG,83.43,broken clouds,11.8464,13.1603,Kagel Mari Police Station
59,Barreirinhas,BR,80.87,broken clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
64,Saint-Georges,GD,82.08,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
67,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
70,Coahuayana,MX,83.55,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
71,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
77,Lakatoro,VU,81.84,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
79,Arlit,NE,82.02,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
85,Springdale,US,75.33,overcast clouds,36.1867,-94.1288,Springdale Inn
102,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
103,Bengkulu,ID,75.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
