,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Birjand,IR,32.8663,59.2211,49.93,40,0,2.64,clear sky
1,Port Alfred,ZA,-33.5906,26.891,66.94,96,100,6.22,light rain
2,Vangaindrano,MG,-23.35,47.6,63.3,71,17,11.01,few clouds
3,Hilo,US,19.7297,-155.09,82.13,71,1,11.5,clear sky
4,Pimentel,PE,-6.8367,-79.9342,66.49,72,0,20.71,clear sky
5,Hithadhoo,MV,-0.6,73.0833,82.89,75,100,12.95,overcast clouds
6,Basco,PH,20.4487,121.9702,79.09,70,100,20.13,overcast clouds
7,Peachtree City,US,33.3968,-84.5958,67.44,83,1,3.0,clear sky
8,Nikolskoye,RU,59.7035,30.7861,46.87,93,100,10.83,moderate rain
9,Mataura,NZ,-46.1927,168.8643,64.22,61,24,1.5,few clouds
10,Lagoa,PT,39.05,-27.9833,67.78,82,94,20.78,overcast clouds
11,Alyangula,AU,-13.8483,136.4192,82.27,78,70,3.44,broken clouds
12,Rikitea,PF,-23.1203,-134.9692,75.42,81,86,18.61,light rain
13,Cape Town,ZA,-33.9258,18.4232,63.01,68,75,1.01,broken clouds
14,Roald,NO,62.5833,6.1333,55.33,93,90,3.44,light rain
15,Bandarbeyla,SO,9.4942,50.8122,76.69,71,3,5.44,clear sky
16,Jamestown,US,42.097,-79.2353,61.07,63,1,9.22,clear sky
17,Houma,US,29.5958,-90.7195,70.02,48,20,23.02,few clouds
18,Mar Del Plata,AR,-38.0023,-57.5575,71.62,84,0,20.0,clear sky
19,New Norfolk,AU,-42.7826,147.0587,46.76,80,100,4.0,light rain
20,Atuona,PF,-9.8,-139.0333,78.66,67,1,16.53,clear sky
21,Ponta Do Sol,PT,32.6667,-17.1,68.72,71,72,5.73,broken clouds
22,Ketchikan,US,55.3422,-131.6461,43.27,75,40,6.91,light rain
23,Kodiak,US,57.79,-152.4072,40.51,48,1,4.61,clear sky
24,Castro,BR,-24.7911,-50.0119,62.55,95,90,8.9,overcast clouds
25,Norman Wells,CA,65.282,-126.8329,23.04,86,90,5.75,light snow
26,Manzhouli,CN,49.6,117.4333,34.79,60,35,3.98,scattered clouds
27,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,88,20,23.76,few clouds
28,Namibe,AO,-15.1961,12.1522,66.85,69,36,6.73,scattered clouds
29,Souillac,MU,-20.5167,57.5167,74.35,83,40,9.22,scattered clouds
30,Cidreira,BR,-30.1811,-50.2056,68.49,83,0,17.0,clear sky
