,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date,Current Description
0,La Ronge,55.1001,-105.2842,43.05,65,40,12.66,scattered clouds,CA,2021-10-24 22:21:22,
1,Hobart,-42.8794,147.3294,51.03,76,75,1.01,light rain,AU,2021-10-24 22:21:23,
2,Chokurdakh,70.6333,147.9167,-7.29,99,100,2.64,overcast clouds,RU,2021-10-24 22:21:23,
3,Kurilsk,45.2333,147.8833,44.94,72,2,1.83,clear sky,RU,2021-10-24 22:21:23,
4,Ushuaia,-54.8,-68.3,33.46,80,75,20.71,heavy snow,AR,2021-10-24 22:20:40,
5,Bambous Virieux,-20.3428,57.7575,74.21,73,40,12.66,scattered clouds,MU,2021-10-24 22:21:24,
6,Ewa Beach,21.3156,-158.0072,84.15,53,40,18.01,scattered clouds,US,2021-10-24 22:21:24,
7,Busselton,-33.65,115.3333,55.04,82,100,9.91,overcast clouds,AU,2021-10-24 22:21:25,
8,Rikitea,-23.1203,-134.9692,74.73,76,43,16.53,scattered clouds,PF,2021-10-24 22:17:05,
9,Grindavik,63.8424,-22.4338,46.35,100,90,5.75,overcast clouds,IS,2021-10-24 22:21:25,
10,Hambantota,6.1241,81.1185,78.17,81,100,6.11,overcast clouds,LK,2021-10-24 22:21:26,
11,Vuktyl,63.8567,57.3094,27.48,92,100,3.38,overcast clouds,RU,2021-10-24 22:21:26,
12,Tuktoyaktuk,69.4541,-133.0374,32.0,86,40,3.44,scattered clouds,CA,2021-10-24 22:21:26,
13,Olinda,-8.0089,-34.8553,82.13,69,20,6.91,few clouds,BR,2021-10-24 22:21:27,
14,Cape Town,-33.9258,18.4232,59.27,68,0,3.0,clear sky,ZA,2021-10-24 22:17:57,
15,Simao,22.7886,100.9748,60.24,100,100,1.83,overcast clouds,CN,2021-10-24 22:21:27,
16,Luba,3.4568,8.5547,78.69,88,57,5.19,light rain,GQ,2021-10-24 22:21:27,
17,Pangody,65.85,74.4859,22.73,86,20,15.43,few clouds,RU,2021-10-24 22:21:28,
18,Atuona,-9.8,-139.0333,77.92,73,2,17.36,clear sky,PF,2021-10-24 22:21:29,
19,Flin Flon,54.7682,-101.865,40.84,65,75,12.66,broken clouds,CA,2021-10-24 22:21:29,
