City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dingle,PH,2021-10-19 21:04:29,10.9995,122.6711,75.51,94,100,4.74
1,Busselton,AU,2021-10-19 21:04:30,-33.65,115.3333,54.09,63,100,20.42
2,Ushuaia,AR,2021-10-19 21:02:13,-54.8,-68.3,55.78,69,100,9.4
3,Albany,US,2021-10-19 21:02:28,42.6001,-73.9662,63.45,52,13,1.99
4,Mataura,NZ,2021-10-19 21:04:30,-46.1927,168.8643,49.05,56,85,4.05
5,Castro,BR,2021-10-19 21:01:11,-24.7911,-50.0119,53.51,98,100,8.79
6,Sampit,ID,2021-10-19 21:04:31,-2.5333,112.95,73.09,99,73,1.52
7,Sao Filipe,CV,2021-10-19 21:04:31,14.8961,-24.4956,80.42,71,1,2.26
8,Port Hardy,CA,2021-10-19 21:03:16,50.6996,-127.4199,53.69,67,100,19.64
9,Pitimbu,BR,2021-10-19 21:04:31,-7.4706,-34.8086,81.19,80,61,12.57
10,Tasiilaq,GL,2021-10-19 21:04:32,65.6145,-37.6368,30.36,49,0,4.45
11,Mataram,ID,2021-10-19 21:04:32,-8.5833,116.1167,77.81,86,100,7.54
12,Barrow,US,2021-10-19 21:01:49,71.2906,-156.7887,23.02,74,90,23.02
13,Dikson,RU,2021-10-19 21:04:33,73.5069,80.5464,27.97,58,100,10.76
14,Kahului,US,2021-10-19 21:04:33,20.8947,-156.47,84.22,65,20,19.57
15,Acarau,BR,2021-10-19 21:04:33,-2.8856,-40.12,80.58,79,27,15.77
16,Boende,CD,2021-10-19 21:04:33,-0.2167,20.8667,69.53,99,100,1.99
17,Kaduqli,SD,2021-10-19 21:04:34,11.0167,29.7167,82.58,38,33,3.13
18,Buala,SB,2021-10-19 21:04:34,-8.145,159.5921,82.11,74,99,2.44
19,Jati,PK,2021-10-19 21:04:34,24.3539,68.2671,77.2,65,0,9.04
20,Hvide Sande,DK,2021-10-19 21:04:35,56.0045,8.1294,59.58,93,100,29.3
21,Hithadhoo,MV,2021-10-19 21:04:35,-0.6,73.0833,83.05,73,62,14.12
22,Hasaki,JP,2021-10-19 21:04:35,35.7333,140.8333,54.0,88,15,8.39
23,Leh,IN,2021-10-19 21:04:36,34.1667,77.5833,43.09,42,0,3.4
24,Geraldton,AU,2021-10-19 21:04:36,-28.7667,114.6,63.01,59,40,18.41
25,Yellowknife,CA,2021-10-19 21:00:04,62.456,-114.3525,44.42,70,71,1.99
26,Ilebo,CD,2021-10-19 21:04:37,-4.3167,20.5833,72.81,90,99,1.01
27,Manavalakurichi,IN,2021-10-19 21:04:37,8.1333,77.3,80.69,88,100,9.64
28,Chuy,UY,2021-10-19 21:03:04,-33.6971,-53.4616,60.85,69,30,10.56
29,Kavieng,PG,2021-10-19 21:04:37,-2.5744,150.7967,83.03,75,83,9.95
30,Tobol,KZ,2021-10-19 21:04:38,52.6844,62.5794,47.44,40,92,8.1
31,Rikitea,PF,2021-10-19 21:04:38,-23.1203,-134.9692,75.04,74,0,20.58
32,Hilo,US,2021-10-19 21:03:05,19.7297,-155.09,80.26,86,89,3.0
33,Punta Arenas,CL,2021-10-19 20:59:45,-53.15,-70.9167,64.51,45,75,26.46
34,Esperance,AU,2021-10-19 21:04:39,-33.8667,121.9,58.84,69,74,32.06
35,Bulgan,MN,2021-10-19 21:04:39,48.8125,103.5347,31.06,58,0,2.91
36,Baykit,RU,2021-10-19 21:04:40,61.67,96.37,36.1,99,100,4.09
37,Farah,AF,2021-10-19 21:04:40,32.5,62.5,64.92,10,0,3.62
38,Chorozinho,BR,2021-10-19 21:04:40,-4.3003,-38.4978,84.79,72,59,8.66
39,Beyneu,KZ,2021-10-19 21:04:41,45.3167,55.2,54.64,67,100,12.24
40,Cape Town,ZA,2021-10-19 21:02:20,-33.9258,18.4232,64.35,66,0,1.99
41,Griffith,US,2021-10-19 21:00:30,41.5284,-87.4237,73.04,43,1,1.01
42,Peterhead,GB,2021-10-19 21:04:41,57.5058,-1.7981,58.12,93,54,13.65
43,Oistins,BB,2021-10-19 21:04:05,13.0667,-59.5333,82.17,67,17,15.26
44,Saint Anthony,US,2021-10-19 21:04:42,45.0205,-93.218,76.3,42,1,1.99
45,Bilibino,RU,2021-10-19 21:04:42,68.0546,166.4372,2.84,97,100,2.98
46,Port Elizabeth,ZA,2021-10-19 21:04:42,-33.918,25.5701,61.11,79,0,12.19
47,Staroshcherbinovskaya,RU,2021-10-19 21:04:43,46.6311,38.6742,45.97,48,1,8.25
48,Mar Del Plata,AR,2021-10-19 21:00:29,-38.0023,-57.5575,60.28,74,0,12.35
49,La Ronge,CA,2021-10-19 21:04:43,55.1001,-105.2842,39.61,54,9,3.22
50,Xinqing,CN,2021-10-19 21:04:44,48.2333,129.5,22.75,78,50,2.53
51,Rondonopolis,BR,2021-10-19 21:01:49,-16.4708,-54.6356,85.96,55,91,4.72
52,Tura,IN,2021-10-19 21:04:44,25.5198,90.2201,71.29,98,100,2.26
53,Narsaq,GL,2021-10-19 21:04:44,60.9167,-46.05,41.22,44,0,5.28
54,Mabai,CN,2021-10-19 21:04:45,23.0128,104.4508,60.08,99,100,3.85
55,Tuktoyaktuk,CA,2021-10-19 21:04:45,69.4541,-133.0374,19.4,100,40,10.36
56,Souillac,MU,2021-10-19 21:04:45,-20.5167,57.5167,73.36,79,7,6.89
57,Shenjiamen,CN,2021-10-19 21:04:46,29.9576,122.298,64.94,66,100,21.47
58,Vaini,TO,2021-10-19 21:04:46,-21.2,-175.2,78.96,78,20,9.22
59,Port Alfred,ZA,2021-10-19 21:04:46,-33.5906,26.891,59.65,75,6,14.61
60,Berlevag,NO,2021-10-19 21:04:47,70.8578,29.0864,30.15,86,75,17.27
61,Lebu,CL,2021-10-19 21:02:30,-37.6167,-73.65,58.32,78,2,10.42
62,Salalah,OM,2021-10-19 21:04:47,17.0151,54.0924,78.89,83,40,4.61
63,Shingu,JP,2021-10-19 21:04:48,33.7333,135.9833,54.7,77,38,6.67
64,Marand,IR,2021-10-19 21:04:48,38.4329,45.7749,53.94,66,32,1.5
65,Kartuzy,PL,2021-10-19 21:04:48,54.3342,18.1974,54.77,83,40,8.05
66,Ribeira Grande,PT,2021-10-19 21:04:49,38.5167,-28.7,69.69,69,11,11.86
67,Aranos,NA,2021-10-19 21:04:49,-24.1333,19.1167,68.22,49,26,19.08
68,Alice Springs,AU,2021-10-19 21:04:49,-23.7,133.8833,81.95,32,58,5.75
69,Longyearbyen,SJ,2021-10-19 21:02:40,78.2186,15.6401,10.0,78,10,2.71
70,Sao Joao Da Barra,BR,2021-10-19 21:03:07,-21.6403,-41.0511,69.48,90,100,16.08
71,Nemuro,JP,2021-10-19 21:04:50,43.3236,145.575,53.91,86,96,15.41
72,Chilca,PE,2021-10-19 21:04:50,-12.5211,-76.7372,64.85,81,62,7.47
73,Inuvik,CA,2021-10-19 21:04:50,68.3499,-133.7218,18.3,81,31,4.94
74,Palmer,US,2021-10-19 21:04:51,42.1584,-72.3287,65.08,43,75,1.01
75,Dudinka,RU,2021-10-19 21:04:51,69.4058,86.1778,31.35,97,100,10.31
76,Los Llanos De Aridane,ES,2021-10-19 21:04:52,28.6585,-17.9182,71.35,33,0,8.05
77,Tornio,FI,2021-10-19 21:04:52,65.8481,24.1466,26.62,61,100,9.86
78,Kodiak,US,2021-10-19 21:04:52,57.79,-152.4072,41.32,89,100,6.89
79,General Pico,AR,2021-10-19 21:03:14,-35.6566,-63.7568,80.17,23,0,7.36
80,Hobart,AU,2021-10-19 21:00:20,-42.8794,147.3294,44.06,87,20,3.0
81,Kapaa,US,2021-10-19 21:04:53,22.0752,-159.319,80.58,72,20,1.99
82,Provideniya,RU,2021-10-19 21:04:53,64.3833,-173.3,33.91,75,75,13.42
83,Ilulissat,GL,2021-10-19 21:04:54,69.2167,-51.1,37.42,38,100,9.22
84,Hermanus,ZA,2021-10-19 21:04:54,-34.4187,19.2345,63.9,88,1,11.99
85,Yar-Sale,RU,2021-10-19 21:04:54,66.8333,70.8333,34.25,99,100,4.05
86,Sayat,TM,2021-10-19 21:04:55,38.7839,63.8803,51.67,18,25,3.24
87,Arraial Do Cabo,BR,2021-10-19 21:04:55,-22.9661,-42.0278,64.26,94,90,10.36
88,Mutsu,JP,2021-10-19 21:04:55,41.2894,141.2169,48.99,84,100,1.1
89,Atuona,PF,2021-10-19 21:04:56,-9.8,-139.0333,78.19,77,2,18.57
90,Haines Junction,CA,2021-10-19 21:04:56,60.7522,-137.5108,33.94,64,100,3.27
91,Tual,ID,2021-10-19 21:04:57,-5.6667,132.75,83.23,77,77,8.59
92,Iqaluit,CA,2021-10-19 21:00:13,63.7506,-68.5145,36.7,90,100,18.99
93,Port Macquarie,AU,2021-10-19 21:01:34,-31.4333,152.9167,62.89,90,100,9.15
94,Raudeberg,NO,2021-10-19 21:04:57,61.9875,5.1352,51.87,93,100,5.01
95,Saint-Philippe,RE,2021-10-19 21:04:58,-21.3585,55.7679,72.99,75,17,7.25
96,Daru,PG,2021-10-19 21:04:58,-9.0763,143.2092,80.35,84,93,7.99
97,Upernavik,GL,2021-10-19 21:04:58,72.7868,-56.1549,34.25,77,100,18.48
98,Pisco,PE,2021-10-19 21:04:49,-13.7,-76.2167,66.25,68,0,11.5
99,Sungaipenuh,ID,2021-10-19 21:04:59,-2.0833,101.3833,64.24,97,94,0.56
100,San Rafael,AR,2021-10-19 21:04:59,-34.6177,-68.3301,82.65,13,0,15.26
101,Dumas,US,2021-10-19 21:05:00,35.8656,-101.9732,85.42,17,3,25.32
102,Faanui,PF,2021-10-19 21:05:00,-16.4833,-151.75,80.26,76,97,14.45
103,Madang,PG,2021-10-19 21:05:01,-5.2246,145.7966,77.47,90,82,2.86
104,Nishihara,JP,2021-10-19 21:05:01,26.1842,127.7558,72.68,68,40,12.66
105,Butaritari,KI,2021-10-19 21:05:02,3.0707,172.7902,82.76,62,1,6.58
106,Tete,MZ,2021-10-19 21:05:03,-16.1564,33.5867,77.09,65,0,13.8
107,Bluff,NZ,2021-10-19 21:05:04,-46.6,168.3333,48.81,61,93,7.87
108,Cherskiy,RU,2021-10-19 21:05:04,68.75,161.3,-13.0,100,100,2.39
109,Avarua,CK,2021-10-19 21:05:05,-21.2078,-159.775,78.85,57,95,6.91
110,Lewiston,US,2021-10-19 21:03:49,44.1003,-70.2148,53.38,63,90,11.5
111,Lamar,US,2021-10-19 21:05:06,33.6668,-95.5836,80.98,42,1,11.5
112,Puebloviejo,CO,2021-10-19 21:05:06,10.9938,-74.2844,86.2,74,100,6.8
113,Warrington,GB,2021-10-19 21:05:07,53.3925,-2.5802,63.86,85,20,5.01
114,Bondoukou,CI,2021-10-19 21:05:08,8.0333,-2.8,73.02,96,80,3.91
115,Tuatapere,NZ,2021-10-19 21:05:08,-46.1333,167.6833,48.36,59,57,1.39
116,Solnechnyy,RU,2021-10-19 21:05:09,50.7214,136.6319,19.02,82,69,2.26
117,Zatoka,UA,2021-10-19 21:05:09,46.0725,30.4654,41.54,56,81,3.09
118,Qaanaaq,GL,2021-10-19 21:05:09,77.484,-69.3632,24.51,88,98,8.93
119,Katsuura,JP,2021-10-19 21:05:10,35.1333,140.3,57.18,85,1,7.43
120,Ostrovnoy,RU,2021-10-19 21:05:10,68.0531,39.5131,35.31,62,100,19.6
121,Nikolskoye,RU,2021-10-19 21:05:10,59.7035,30.7861,33.87,79,96,3.69
122,Nuuk,GL,2021-10-19 21:00:19,64.1835,-51.7216,38.01,35,2,11.5
123,Sept-Iles,CA,2021-10-19 21:05:11,50.2001,-66.3821,49.05,95,90,1.99
124,Alyangula,AU,2021-10-19 21:04:40,-13.8483,136.4192,82.27,83,75,10.36
